N,Tema,Artista,Compositor,Lugar,Año,Ritmo,Fuente,Letra,Realizado por,letra en Spotify,Añadido a Spotify,Observaciones,...14,archivo,contenido,Ira,Anticipacion,Asco,Miedo,Alegria,Tristeza,Sorpresa,Confianza,Negativo,Positivo,id,popularity,name,album,artists,type,uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,...22,...23,...24,...25,...26,...27,...28,...29,...30,...31,...32,...33,...34,...35,...36
51,El Aguilillo,Enriqueta Ulloa,"José René Moreno, Arturo Pinckert",NA,2004,Carnaval,Spotify,51.txt,Abi,TRUE,NA,"https://www.facebook.com/BoliviaEterna/videos/enriqueta-ulloa-el-aguilillo/431653584438368/?locale=es_LA#:~:text=TEMA%20%3A%20El%20Aguilillo,-%E2%96%A0&text=AUTOR%20%3A%20Jos%C3%A9%20Ren%C3%A9%20Moreno%20%2F%20Arturo%20Pinckert,-%E2%96%A0&text=RITMO%20%3A%20Carnaval,-%E2%96%A0",NA,51.txt,"Te amaré, te amaré,
Te amaré con todo el corazón
Te querré, te querré
Te querré con toda mi pasión
El amor, el amor
El amor que te doy
Ese amor que te doy es tan dulce
Más dulce, más dulce que el
Empanizau'

La otra noche te vi por la plaza
Paseando del brazo con otra mujer
Y te han visto bailando en los buris
Con toda pelada siempre apechugau'
En la playa del Río Piraí
Con una Cunumi te vi
Aguilillo te gusta la farra
Ya estas igualingo que el Camba Pechí

Pero vos no querés comprender mi pasión
Porque sos un aguilillo
Que soñas con otro amor
Ya verás, pagarás
Lo que haces con mi amor
Si seguís tan aguilillo
Te llevarán al panteón

Sos aguilillo, te gusta el amor
Y a las mujeres robas el corazón
Sos aguilillo, te gusta el amor
Y a las mujeres les gusta como sos

Te amaré, te amaré,
Te amaré con todo el corazón
Te querré, te querré
Te querré con toda mi pasión
El amor, el amor
El amor que te doy
Ese amor que te doy es tan dulce
Más dulce, más dulce que el
Empanizau'

La otra noche te vi por la plaza
Paseando del brazo con otra mujer
Y te han visto bailando en los buris
Con toda pelada siempre apechugau'
En la playa del Río Piraí
Con una Cunumi te vi
Aguilillo te gusta la farra
Ya estas igualingo que el Camba Pechí

Pero vos no querés comprender mi pasión
Porque sos un aguilillo
Que soñas con otro amor
Ya verás, pagarás
Lo que haces con mi amor
Si seguís tan aguilillo
Te llevarán al panteón

Sos aguilillo, te gusta el amor
Y a las mujeres robas el corazón
Sos aguilillo, te gusta el amor
Y a las mujeres les gusta como sos
",1,4,0,1,5,0,1,3,0,6,10bsIbn1QjtkQH0GPXDnxC,26,El Aguilillo,Lo Mejor del Oriente Boliviano,Enriqueta Ulloa,track,spotify:track:10bsIbn1QjtkQH0GPXDnxC,0.614,0.488,11,-9.814,0,0.0409,0.269,1.94e-4,0.344,0.79,84.385,173827,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52,Guajojo,Gladys Moreno,Percy Ávila,NA,1979,Taquirari,Spotify,52.txt,Abi,TRUE,NA,NA,NA,52.txt,"Cuando la lluvia canta un taquirari
Entre las hojas de un gran motacú
Aquí muy dentro rebalsa mi tari
Mi corazón que fue tari en tisú

Se me desbordan recuerdos y recuerdos
De aquél buen tiempo que nunca volvió
Sigue la lluvia mojándome el alma
Y en cada verso un recuerdo se ahogó

Lunita camba que nunca me escribió
Tantas promesas que nunca me cumplió
Sigo la huella paseando mi estrella
Ya no soy buena la ausencia me cambió

Lunita camba que nunca me escribió
Tantas promesas que nunca me cumplió
Sigo la huella paseando mi estrella
Ya no soy buena la ausencia me cambió

El guajojó caminante en pena como yo
Lleva mi voz de guapomó en guapomó
El guajojó caminante en pena como yo
Lleva mi voz de guapomó en guapomó

Lunita camba que nunca me escribió
Tantas promesas que nunca me cumplió
Sigo la huella paseando mi estrella
Ya no soy buena la ausencia me cambió

El guajojó caminante en pena como yo
Lleva mi voz de guapomó en guapomó
El guajojó caminante en pena como yo
Lleva mi voz de guapomó en guapomó",1,2,0,2,1,3,0,1,3,4,4pL6WsXSqoA2ZOiwnjz14i,24,Guajojo,El Disco de Oro de Gladys Moreno,Gladys Moreno,track,spotify:track:4pL6WsXSqoA2ZOiwnjz14i,0.717,0.452,7,-10.587,0,0.0872,0.762,3.57e-5,0.277,0.648,77.08,167519,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53,Niña Camba,Los Cambitas,César Espada Morales,NA,1990,Taquirari,Spotify,53.txt,Abi,TRUE,Si,falta corrección,NA,53.txt,"Niña al recordar
Hoy tus ojos tan fijos en mi
Veo el mar la playa y el sol
Horizontes que no conoci

Mi canto reclama tu voz
Y yo la flor de tu piel
Y esta noche negra de lejos te siento venir

Palabras de amor
Que hoy se alejan de mi corazon
Cual gaviotas que no volveran
A posarse en mi arena sin sal

Serenata frente a tu balcon
Soy bohemio que dice su adios
Soy un arbol fiel que busca la felicidad

Camba 
Yo si que te llevo dentro
Pues en mi canto y mis versos
Siempre te quiero nombrar

Niña me llevo todos mis versos
Me voy esta noche lejos
Donde te pueda olvidar

Palabras de amor
Que hoy se alejan de mi corazon
Cual gaviotas que no volveran
A posarse en mi arena sin sal

Serenata frente a tu balcon
Soy bohemio que dice su adios
Soy un arbol fiel que busca la felicidad

Camba
Yo si que te llevo dentro
Pues en mi canto y mis versos
Siempre te quiero nombrar

Niña me llevo todos mis versos
Me voy esta noche lejos
Donde te pueda olvidar

Niña me llevo todos mis versos
Me voy esta noche lejos
Donde te pueda olvidar
",2,3,0,0,9,0,2,3,2,12,6vG0PEP1rw0HA7KUoQnqYW,13,Niña Camba,De Colección,Los Cambitas,track,spotify:track:6vG0PEP1rw0HA7KUoQnqYW,0.56,0.244,6,-16.517,0,0.0566,0.973,1.15e-4,0.105,0.727,156.282,166600,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
54,Pena Camba,Gladys Moreno,"José Luna, Raúl Otero",NA,1993,Taquirari,Spotify,54.txt,Abi,TRUE,NA,NA,NA,54.txt,"Todo el corazón
Negra te ofrecí
Esa noche triste
Junto al Piraí
Por vos mi ilusión
Toda la perdí
Desde entonces morena
Voy llorando de amor

Todo el corazón
Negra te ofrecí
Esa noche triste
Junto al Piraí
Por vos mi ilusión
Toda la perdí
Desde entonces morena
Voy llorando de amor

¿Dónde están esas horas?
¿Que contigo pasé?
Todo ya se ha perdido
Y hasta tu amor se fue
En la playa tu nombre
Con mi llanto escribí
Hoy solo vivo instantes
Como el curucusí

Ay morena linda
Flor del urucú
Píntame los labios
De perfume y luz
Vuelve a renacer
Como el tapiosí
Recuerda mi negra
Por el beso que te di

Ay morena linda
Flor del urucú
Píntame los labios
De perfume y luz
Vuelve a renacer
Como el tapiosí
Recuerda mi negra
Por el beso que te di

¿Dónde están esas horas?
¿Que contigo pasé?
Todo ya se ha perdido
Y hasta tu amor se fue
En la playa tu nombre
Con mi llanto escribí
Hoy solo vivo instantes
Como el curucusí

Ay morena linda
Flor del urucú
Píntame los labios
De perfume y luz
Vuelve a renacer
Como el tapiosí
Recuerda mi negra
Por el beso que te di

Recuerda mi negra
Por el beso que te di
",1,2,2,3,5,9,1,1,9,4,4c9KIEm7zVZBFyVFrWxcZf,15,Pena Camba,El Disco de Oro de Gladys Moreno,Gladys Moreno,track,spotify:track:4c9KIEm7zVZBFyVFrWxcZf,0.505,0.416,7,-9.386,0,0.0494,0.854,0,0.132,0.756,158.398,174428,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55,Charanguito de Quirquincho,"Betty Veizaga, Grupo Pukaj Wayra",Betty Veizaga Siles,NA,1998,Salay,Spotify,55.txt,Abi,TRUE,Si,NA,NA,55.txt,"Con que derecho te quitan la vida
Y te arrancan el corazón
Pierdes tu vida por la cultura
Dándole vida a la tradición
Ay Ay Ay Ay

Vas por el mundo mostrando alegría 
Te quiere tanto mi corazón
Con melodías de amor y ternura
Llevas el ritmo de tradición
Ay Ay Ay Ay

Charanguito de quirquincho
Canta alegre mi corazón
Yo que haría sin tu alegría
Se muere triste mi corazón
Ay Ay Ay Ay

Charanguito de quirquincho
Canta alegre mi corazón
Yo que haría sin tu alegría
Se muere triste mi corazón
Ay Ay Ay Ay

Así me gusta mi amor

Con que derecho te quitan la vida
Y te arrancan el corazón
Pierdes tu vida por la cultura
Dándole vida a la tradición
Ay Ay Ay Ay

Vas por el mundo mostrando alegría 
Te quiere tanto mi corazón
Con melodías de amor y ternura
Llevas el ritmo de tradición
Ay Ay Ay Ay

Charanguito de quirquincho
Canta alegre mi corazón
Yo que haría sin tu alegría
Se muere triste mi corazón
Ay Ay Ay Ay

Charanguito de quirquincho
Canta alegre mi corazón
Lo que haría sin tu alegría
Se muere triste mi corazón
Ay Ay Ay Ay

Mi charanguito mi quirquinchito
Te llevare cerquita a mi corazón

Mi charanguito mi quirquinchito
Te llevare cerquita a mi corazón

Mi charanguito mi quirquinchito
Te llevare cerquita a mi corazón
",1,1,2,3,7,6,1,1,6,10,20WV9lbEtFHnP90V2KB41f,0,Charanguito de Q'irquincho,Con Sentimiento a Mi Tierra,"Betty Veizaga, Grupo Pukaj Wayra",track,spotify:track:20WV9lbEtFHnP90V2KB41f,0.489,0.661,9,-9.533,0,0.196,0.33,1e-5,0.29,0.767,98.554,258392,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56,Granadita,Tupay,A.A.D.D. SOBODAYCOM,NA,1998,Huayño,Spotify,56.txt,Abi,TRUE,NA,NA,NA,56.txt,"Ajinata granaditay (Así granadita mía)


Q'omer pampas puriskayta, granaditay, yuyarispa waqashani (Estoy llorando, granadita mía, recordando los campos verdes que recorrí)
Robar quisiera tú corazón
Q'omer pampas puriskayta, granaditay, yuyarispa waqashani (Estoy llorando, granadita mía, recordando los campos verdes que recorrí)
Robar quisiera tú corazón
Tukuy t'ikas pallasqayta, granaditay, yuyarispa waqashani (Estoy llorando, granadita mía, recordando todas las flores que recogí)
Robar quisiera tu corazón
Tukuy t'ikas pallasqayta, granaditay, yuyarispa waqashani (Estoy llorando, granadita mía, recordando todas las flores que recogí)
Robar quisiera tú corazón


Tajrarikuy Imilla (Aplaude señorita)


Takirikuy uksituta, granaditay, chaymanta yuyasunaypaq (Canta , granadita mía, para que pueda recordarte)
Robar quisiera tú corazón
Takirikuy uksituta, granaditay, chaymanta yuyasunaypaq (Canta , granadita mía, para que pueda recordarte)
Robar quisiera tú corazón
Jinata takikuq nispa, granaditay, yuyarispa waqanaypaq (Así cantaba , diciendo, granadita mía, llorando recordarte)
Robar quisiera tú corazón
Jinata takikuq nispa, granaditay, yuyarispa waqanaypaq (Así cantaba , diciendo, granadita mía, llorando recordarte)
Robar quisiera tú corazón


Oylo, oylo, oylo lo lo
Oylo, oylo, oylo lo lo
Oloy loy loy, loy lo lo lo
Oloy loy loy, loy lo lo lo


Robar quisiera tú corazón",2,0,1,2,0,2,0,0,2,1,7KU47DKSR3mZVPCHYoQnQw,35,Granadita,Folklore,Tupay,track,spotify:track:7KU47DKSR3mZVPCHYoQnQw,0.744,0.45,7,-8.552,1,0.0521,0.387,0,0.0957,0.855,116.806,228800,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57,Tonada Para Remedios,Zulma Yugar,Willy Alfaro,NA,1996,Tonada,Spotify,57.txt,Abi,TRUE,NA,NA,NA,57.txt,"Desde la banda he venido
Pisando sobre las flores.
Desde la banda he venido
Pisando sobre las flores.
Como soy muchacha tierna
Vengo rendida de amores.
Como soy muchacha tierna
Vengo rendida de amores.

Por esa banda (por esa banda), por ese rosal (por ese rosal),
Me has hecho lo que has querido,
Pero me lo has de pagar.
Me has hecho lo que has querido,
Pero me lo has de pagar.

Subite a las ancas, Marcelina.

Chura hermosa

Vamos a galopar,
Copleando por el camino,
Cruzaremos el Toroyo,
Banda a banda había crecido.
Marcelina dame alcohol,
Cigarrito pa' fumar,
La fiesta va a comenzar,
Machadita y terminar.

Por esa banda (por esa banda), por ese rosal (por ese rosal),
Me has hecho lo que has querido,
Pero me lo has de pagar.
Me has hecho lo que has querido,
Pero me lo has de pagar.

Subite a las ancas, Marcelina.

Vamonos palomitay

Vamos a galopar,
Copleando por el camino,
Cruzaremos el Toroyo,
Banda a banda había crecido.
Marcelina dame alcohol,
Cigarrito pa' fumar,
La fiesta va a comenzar,
Machadita y terminar.",2,5,0,0,9,2,2,5,1,9,0t7gFVZZQ1WRXxaOTKfioF,14,Tonada Para Remedios,Tierra Sin Mar,Zulma Yugar,track,spotify:track:0t7gFVZZQ1WRXxaOTKfioF,0.441,0.296,7,-13.164,1,0.0499,0.801,0,0.151,0.347,76.845,185640,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
58,Wist'u Vida,Semilla,Pastor Cámara,NA,1996,Tinku,Spotify,58.txt,Abi,TRUE,NA,NA,NA,58.txt,"Que viva la vida 

Con mi wistu vida

Que viva la vida 

Con mi wistu vida

Desde 
chiti ayqiwasay (chico)
yo soy 
negrero munasquetay (mujeriego querida mía )
Desde 
chiti ayqiwasay (chico)
yo soy 
negrero munasquetay (mujeriego querida mía )

Hoy en día ayquiwasay 
más todavía 
munasquetay (querida mía)
Hoy en día ayquiwasay 
más todavía 
munasquetay (querida mía)


Ay caray soy feliz con mi wistu vida
Ay caray soy feliz que viva la vida
Yo no quiero ayqiwasay 
chicas celosas 
munasquetay (querida mía)


Yo no quiero ayquiwasay chicas celosas 
munasquetay (querida mía)
Pueden irse ayquiwasay al quinto infierno 
munasquetay (querida mía)
Pueden irse ayquiwasay al quinto infierno 
munasquetay (querida mía)
Ay caray soy feliz con mi wistu vida
Ay caray soy feliz que viva la vida


Tengo el corazón ayqiwasay de colectivo 
munasquetay (querida mía)
Tengo el corazón ayqiwasay de colectivo 
munasquetay (querida mía)
Porque todas ayqiwasay son pasajeras 
munasquetay (querida mía)
Porque todas ayqiwasay son pasajeras 
munasquetay (querida mía)


Ay caray soy feliz con mi wistu vida
Ay caray soy feliz que viva la vida


Que viva la vida 


Con mi wistu vida",2,1,2,3,1,2,0,1,3,1,3663qnvlFGRPEUySNOD7I2,44,Wist'u Vida,Pensando en Ti,Semilla,track,spotify:track:3663qnvlFGRPEUySNOD7I2,0.693,0.704,0,-8.815,1,0.136,0.0425,0,0.254,0.848,145.061,269200,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
59,Arbolito Arbolito,Tupay,-,NA,2018,Cueca,Spotify,59.txt,Abi,TRUE,NA,NA,NA,59.txt,"Arbolito y arbolito, ay, ay, ay
De verdes hojas
Qué bonita te pones
Cuando te enojas

De tus lindos ojos negros, ay, ay, ay
No tengo quejas
Ellos quieren mirarme
Tú no los dejas

Ya me voy, ya me voy
Ya me voy, ya me estoy yendo
Sabe Dios si volveré a cumplir lo que te juré
Sabe Dios si volveré a cumplir lo que te juré

Ellos quieren mirarme, negrita
Tú no los dejas

Arbolito y arbolito, ay, ay, ay
De verdes hojas
Qué bonita te pones
Cuando te enojas

De tus lindos ojos negros, ay, ay, ay
No tengo quejas
Ellos quieren mirarme
Tú no los dejas

Ya me voy, ya me voy
Ya me voy, ya me estoy yendo
Sabe Dios si volveré a cumplir lo que te juré
Sabe Dios si volveré a cumplir lo que te juré

Ellos quieren mirarme, negrita
Tú no los dejas",0,1,1,2,2,1,0,1,1,2,3mvU86Rk4H4SWmb8X1FykE,20,Arbolito Arbolito,Cuecas con Bandoneón,Tupay,track,spotify:track:3mvU86Rk4H4SWmb8X1FykE,0.768,0.748,7,-5.907,1,0.0416,0.712,0,0.209,0.649,114.019,210443,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
60,Rompe cantarito,Willy Alfaro,Willy Alfaro,NA,1969,Tonada,Spotify,60.txt,Abi,TRUE,Si,falta sincronización,https://www.facebook.com/BoliviaEterna/videos/humberto-leyton-rompe-cantarito/410299593362657/,60.txt,"Palquiceñito he nacido rompe cantarito
Me llamaba mi vecina vieja miserable
Me llamaba mi vecina vieja miserable

Tenía una pata más larga otra más pequeña
Al caminar parecía que se le hundía
Al caminar parecía que se le hundía

Lindo palquiceño rompe cantarito
Las flores quieren besarme y el río me envidia
Las flores quieren besarme y el río me envidia

Palquiceñito he nacido, como mi burro y mi puerco
Suegrita dónde te has ido, ojalá te hayas morido

Tener una hija tan linda, vieja condenada
Donde habían visto en amores, sapo parir flores
Donde habían visto en amores, sapo parir flores

Quien iba imaginarse, que esta rata fea
Pudo haber sido mi suegra, novia de mandinga
Pudo haber sido mi suegra, novia de mandinga

Lindo palquiceño  rompe cantarito
Las flores quieren besarme y el río me envidia
Las flores quieren besarme y el río me envidia
",1,1,5,1,2,2,0,1,5,3,0DVvhlLuZhZYSlVvFkf2nc,2,Rompe cantarito,"Canciones inolvidables, Vol. 1",Willy Alfaro,track,spotify:track:0DVvhlLuZhZYSlVvFkf2nc,0.741,0.488,8,-8.404,1,0.0728,0.689,0,0.151,0.567,82.055,203827,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
61,Mi desventura,Willy Alfaro,Willy Alfaro,NA,1989,Cueca,Spotify,61.txt,Abi,TRUE,Si,falta sincronización,"https://www.facebook.com/BoliviaEterna/videos/willy-alfaro-mi-desventura/921888878660485/#:~:text=TEMA%3A%20Mi%20Desventura,-%E2%96%A0&text=AUTOR%3A%20Willy%20Alfaro,-%E2%96%A0&text=RITMO%3A%20Cueca,-%E2%96%A0&text=ALBUM%3A%20El%20Trovador%20Tupice%C3%B1o%20%E2%93%851989,-%E2%96%A0",61.txt,"Un día la caja se casó con la copla
El erque beso su melodía
Y en un abrazo bombo y guitarra
Completaron la armonía
Y nació para mi amada
La canción de mi pecho
Desde que te vi mi guapa 
Con la flor en el cabello 
Soy el cantorcito del corazón deshecho

La flor hermosa de mi corazón
Porque será mi sufrimiento
Yo la quiero
Suerte fatal mi tormento
Yo la quiero
Suerte fatal mi tormento

En la tristeza de mi soledad
No puedo hallar un consuelo
Cruel destino
Me ha de llevar a la muerte
Cruel destino
Me hade llevar a la muerte

Ya no quiero más, sufrir tanto
Tanta fue mi desventura
Ayayay que me muero
Tanta fue mi desventura
Ayayay que me muero

Tanta fue mi desventura
Ayayay que me muero

La flor hermosa de mi corazón
Porque será mi sufrimiento
Yo la quiero
Suerte fatal mi tormento
Yo la quiero
Suerte fatal mi tormento

En la tristeza de mi soledad
No puedo hallar un consuelo
Cruel destino
Me ha de llevar a la muerte
Cruel destino
Me ha de llevar a la muerte

Ya no quiero más, sufrir tanto
Tanta fue mi desventura
Ayayay que me muero
Tanta fue mi desventura
Ayayay que me muero

Tanta fue mi desventura
Ayayay que me muero
",5,6,4,9,7,11,4,3,13,8,7x0DAiUEX4GBgL1QjpcIrB,2,Mi desventura,"Canciones inolvidables, Vol. 1",Willy Alfaro,track,spotify:track:7x0DAiUEX4GBgL1QjpcIrB,0.714,0.482,2,-9.398,1,0.0435,0.874,1.34e-6,0.312,0.575,125.674,249520,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
62,La culpable,Los Cantores del Valle,Luis Achá Martínez,NA,1993,Cueca,Spotify,62.txt,Abi,TRUE,NA,NA,NA,62.txt,"La culpa de mi locura
La culpa tienes tú
Me trataste con dulzura
Con paciencia solo tú
Me trataste con dulzura
Con paciencia solo tú

Insomnio tengo en la vida
Nomás por ti, mujer
Tú tienes, tienes la culpa
De mi horrible padecer
Tú tienes, tienes la culpa
De mi horrible padecer

Tus ojos, tus labios
Tu dulce mirar
Han hechizado mi alma
Y no hago más que llorar
Han hechizado mi alma
Y no hago más que llorar

Han hechizado mi alma
Y no hago más que llorar

La culpa de mi locura
La culpa tienes tú
Me trataste con dulzura
Con paciencia solo tú
Me trataste con dulzura
Con paciencia solo tú

Insomnio tengo en la vida
Nomás por ti, mujer
Tú tienes, tienes la culpa
De mi horrible padecer
Tú tienes, tienes la culpa
De mi horrible padecer

Tus ojos, tus labios
Tu dulce mirar
Han hechizado mi alma
Y no hago más que llorar
Han hechizado mi alma
Y no hago más que llorar

Han hechizado mi alma
Y no hago más que llorar",7,2,10,8,1,8,1,2,14,5,6ytLnvwoHIY7hp4uF6ulz7,20,La culpable,Tarija y Su Música,Los Cantores Del Valle,track,spotify:track:6ytLnvwoHIY7hp4uF6ulz7,0.761,0.438,11,-10.914,0,0.0664,0.67,0,0.331,0.425,122.121,181067,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
63,Huérfana Virginia,Tupay,Simeón Roncal Gallardo,NA,NA,Cueca,Spotify,63.txt,Javi,TRUE,NA,NA,NA,63.txt,"Llora, llora el alma mía penas del ayer
Nubes negras pasan por mi mente, sangra el corazón
Es Virginia, niña mía, que muy lejos se nos fue

Llora, llora el alma mía penas del ayer
Nubes negras pasan por mi mente, sangra el corazón
Es Virginia, niña mía, que muy lejos se nos fue

En sus ojos, luz de esperanza, una llama parece arder
En sus manos de seda cantan las flores con voces de cristal
Es Virginia, la niña mía, que fue tan lejos pa' no volver

Layra-layra, laralayla; lara-layalala
Lara-lara-layla, lara-layla; lara-layalala
Es Virginia, la niña mía, que fue tan lejos pa' no volver

¡Se va la segunda!

Llora, llora el alma mía penas del ayer
Nubes negras pasan por mi mente, sangra el corazón
Es Virginia, niña mía, que muy lejos se nos fue

Llora, llora el alma mía penas del ayer
Nubes negras pasan por mi mente, sangra el corazón
Es Virginia, niña mía, que muy lejos se nos fue

En sus ojos, luz de esperanza, una llama parece arder
En sus manos de seda cantan las flores con voces de cristal
Es Virginia, la niña mía, que fue tan lejos pa' no volver

Layra-layra, laralayla; lara-layalala
Lara-lara-layla, lara-layla; lara-layalala
Es Virginia, la niña mía, que fue tan lejos pa' no volver",0,1,0,0,1,1,1,1,1,4,3VSoPR2vVsk66AlrI28FKY,6,Huérfana Virginia,"Antología de La Cueca, Vol.1",Tupay,track,spotify:track:3VSoPR2vVsk66AlrI28FKY,0.813,0.648,9,-5.32,0,0.0347,0.716,0,0.134,0.794,115.988,177366,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
64,No Pretendas Consolarme,Los Pachechos,-,NA,2015,Bailecito,Spotify,64-No pretendas consolarme,Patricia delgadillo,TRUE,Si,NA,NA,64.txt,"(Bailecito de mi tierra, se va la primerita)

No pretendas consolarme porque más me has de afligir 
Perdí a la que más amaba, ya no quiero mas vivir
No pretendas consolarme porque más me has de afligir 
Perdí a la que más amaba, ya no quiero mas vivir

Ya no quiero mas vivir ni mencionar algo de ti 
Otra de tu mismo nombre 
Ha de ocupar tu lugar

Otra de tu mismo tu nombre 
Ha de ocupar tu lugar

(La segundita)

Ya no quiero mas vivir ni mencionar algo de ti 
Otra de tu mismo nombre 
Ha de ocupar tu lugar

Otra de tu mismo tu nombre 
Ha de ocupar tu lugar

(La tercerita y se acaba)

No pretendas consolarme porque más me has de afligir 
Perdí a la que más amaba, ya no quiero mas vivir
No pretendas consolarme porque más me has de afligir 
Perdí a la que más amaba, ya no quiero mas vivir

Ya no quiero mas vivir ni mencionar algo de ti 
Otra de tu mismo nombre 
Ha de ocupar tu lugar 

Otra de tu mismo tu nombre 
Ha de ocupar tu lugar",0,0,0,1,0,2,0,0,2,2,2ZolV96iPtF4maa5eLX3jd,2,No Pretendas Consolarme,Tu Orgullo (Cuecas y Bailecitos de Bolivia),Los Pachechos,track,spotify:track:2ZolV96iPtF4maa5eLX3jd,0.463,0.554,0,-6.345,1,0.219,0.591,0,0.0888,0.839,168.31,193332,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
65,Rojo Amarillo y Verde,Juan Enrique Jurado,Juan Enrique Jurado,Tarija,2003,Cueca,Spotify,65-rojo amarillo y verde,Patricia delgadillo,TRUE,NA,NA,NA,65.txt,"Esta cueca quiero cantarla para mi querida Sudamérica
y para mi amada Bolivia, 
Ahí se va la primera

Cantar por cantar,no hace falta pues cantar
de qué sirve buena voz si es vacía tu canción
de qué sirve buena voz si es vacía tu canción

Vivir por vivir, no falta pues vivir
tiene que haber un motivo, tienes que luchar por él
tiene que haber un motivo, tienes que luchar por él

Yo vivo y canto a mi patria, porque la llevo en mi ser.
Rojo, amarillo y verde es el tono de mi voz, 
Rojo, amarillo y verde es el tono de mi voz.

Rojo, amarillo y verde es el tono de mi voz

A usted señor ciudadano, habitante de mi patria,
sembrador o militar, estudiante o industrial
campesino, provinciano y al inquieto capitalino,
a todos les digo amigos, que esta tierra que habitamos
tenemos que respetarla, porque es ella quien nos da todo
y solo nos pide amarla
Y si queremos dejarle a nuestros hijos
un futuro, un mañana, todos debemos poner el hombro para cuidarla

Yo sé que desde afuera viene el trigo, también los desechos químicos.
Y que con dos o tres regalos siempre quieren manejarnos
imponiendo condiciones, con oscuras intenciones,
señoreando su grandeza, diciendo que aquí hay pobreza

Ya quisieran tener ellos nuestra selva, nuestros ríos, nuestras montañas y llanos,
nuestro imponente altiplano y el aire que respiramos

Tierra fértil de hombres fuertes. ¿Ya ven mis queridos hermanos?
Es inmensa esta riqueza, y es por eso que el de afuera
en mi tierra se interesa

Estan estudiando a campesinos, con psicólogos entendidos
Por que no ven a estudiar a su abuela
Que hasta ahora no han entendido que esta tierra es de nosotros
Y no de los entrometidos

Fuerza Bolivia

Cantar por cantar,no hace falta pues cantar
de qué sirve buena voz si es vacía tu canción
de qué sirve buena voz si es vacía tu canción

Vivir por vivir, no falta pues vivir
tiene que haber un motivo, tienes que luchar por él
tiene que haber un motivo, tienes que luchar por él

Yo vivo y canto a mi patria, porque la llevo en mi ser.
Rojo, amarillo y verde es el tono de mi voz, 
Rojo, amarillo y verde es el tono de mi voz

Rojo, amarillo y verde es el tono de mi voz",4,4,3,7,6,2,2,7,5,17,4ALGXOolKXcE2JEHRIEDIy,35,Rojo Amarillo y Verde,Lo Mejor,Juan Enrique Jurado,track,spotify:track:4ALGXOolKXcE2JEHRIEDIy,0.529,0.49,10,-7.588,0,0.0579,0.739,0,0.102,0.92,128.358,266813,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
66,Pretenciosa,Bonanza,Francisco Cuellar,NA,1997,Cueca,Spotify,66-pretenciosa,Patricia delgadillo,TRUE,NA,NA,NA,66.txt,"Pretenciosa que huyas de mí, 
si mi anhelo es quererte, 
cuando me vaya recién comprenderás y por mí llorarás
cuando me ausente recién comprenderás mi sufrir

La primera mujer que amé
me ha dejado y no sé porqué.

y desde entonces vaga mi corazón sin ninguna ilusión
y desde entonces vaga mi corazón sin amor

La esperanza del querer,
La esperanza del amar ,
Se han alejado cuan olas de mar para nunca volver, 
Se han esfumado cual el humo sutil del vivir

Se han esfumado cual el humo sutil del vivir

La esperanza del querer,
La esperanza del amar,
Se han alejado cuan olas de mar para nunca volver, 
Se han esfumado cuan humo sutil del vivir

Se han esfumado cual el humo sutil del vivir 




",1,4,0,1,3,7,1,2,10,5,15VShIrRvxwEKOC2Iux51L,7,Pretenciosa,Vivencias,Bonanza,track,spotify:track:15VShIrRvxwEKOC2Iux51L,0.697,0.629,2,-9.496,0,0.0354,0.772,1.32e-5,0.149,0.787,123.896,194011,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
